# Incremental Holo closure for the updated ARM64 SteamUI boundary. The
# existing direct-X11 closure is already installed in the v4 input rootfs.
extra	libpipewire	1:1.4.9-1	e85332b152c7357a684b0f6d623e80e7aeee839877df17a5e9cad6962e863de2	libpipewire-1:1.4.9-1-aarch64.pkg.tar.zst
extra	libpulse	17.0+r93+gbe2efb69b-1	c854fb0c9ab5e9c767b65a9dcb253a3ac1f4fc0d2488d9b8d01630deba847dc4	libpulse-17.0+r93+gbe2efb69b-1-aarch64.pkg.tar.zst
extra	librsvg	2:2.61.3-1	f46245dcc1b7c7a3c3546b576d6ab2a79f1f275924c36d3329cb5b4323a5c3a8	librsvg-2:2.61.3-1-aarch64.pkg.tar.zst
extra	libsndfile	1.2.2-4	d7f9faba3480054425f1037f4599de2a5ace195ce68f47b41b82dc8b2ee53f09	libsndfile-1.2.2-4-aarch64.pkg.tar.zst
extra	libtiff	4.7.1-1	b5b7c13e76b6ea63411c69dfb83e5f42bff92b8f8cf082a2986caca9f0eea680	libtiff-4.7.1-1-aarch64.pkg.tar.zst
extra	libunwind	1.8.2-1	178f5948afc362aa684660488ab5483ce340ef68eda262bc32d0484a8476e0b2	libunwind-1.8.2-1-aarch64.pkg.tar.zst
extra	libvorbis	1.3.7-4	5c19f0d88c80177800e859bc7d079a6e136b1621adea2da18f5a31eed2c0c5e7	libvorbis-1.3.7-4-aarch64.pkg.tar.zst
extra	libwebp	1.6.0-2	d9d6e55d480c5688dd5b05530b25b5f59f877814d78231e6277f153c34834c43	libwebp-1.6.0-2-aarch64.pkg.tar.zst
extra	libxcursor	1.2.3-1	9c36192309843ff1e00c051c8e1fb5c3d48dbe4d0570d12a745c4b7188470662	libxcursor-1.2.3-1-aarch64.pkg.tar.zst
extra	libxinerama	1.1.5-2	f104386bddf9968da211e6fa7bb3b2608c445f7dc5735006ccc536a6318667a4	libxinerama-1.1.5-2-aarch64.pkg.tar.zst
extra	mpg123	1.33.3-1	b4f6497423537bdc11179bc9927bf3014bcf960eb78936eb108a9bbbdab7bbba	mpg123-1.33.3-1-aarch64.pkg.tar.zst
extra	opus	1.5.2-1	34f280315ceccde55eadbe6d423be541b63af1e932fc7c2bfb7e7c6a8f9a68c7	opus-1.5.2-1-aarch64.pkg.tar.zst
extra	shared-mime-info	2.4-2	a182bece2fad7340a3753baa669ecf98a44f4acf02f923a96504b2fec4cd40bd	shared-mime-info-2.4-2-aarch64.pkg.tar.zst
extra	xorg-xprop	1.2.8-1	bdf2eb4cc1bf9650bd4404557e66562e9dfa644d612a12470c46c9b595efdc8a	xorg-xprop-1.2.8-1-aarch64.pkg.tar.zst
